Country,Tertiary education Total,Tertiary education Women,Tertiary educationMen,Bachelor's Total,Bachelor's Women,Bachelor's Men,Master’s Total ,Master's Women,Master's Men,Doctoral Total,Doctoral Women,Doctoral Men,Total tertiary Total,Total tertiary Women,Total tertiary Men
Australia,14.7,17.9,11.5,59.5,71.1,48.5,20.2,21.7,18.7,2.5,2.5,2.6,76.1,87.3,65.4
Austria,26.3,29.1,23.7,24.6,29.3,20.1,19.5,21,18.1,1.9,1.6,2.1,49.3,57,41.9
Belgium,,,,42.6,52.3,33.2,11.7,13.1,10.3,0.6,0.5,0.7,42.6,52.3,33.2
Canada,21.3,24.4,18.3,39.7,48,31.7,11.3,12.7,9.9,1.5,1.4,1.7,,,
Chile,25.4,30.2,20.7,36.1,39.4,32.8,8.7,9.6,7.8,0.2,0.2,0.3,58.3,66.6,50.2
Czech Republic,0.3,0.4,0.2,36.6,47.1,26.7,25.9,31.6,20.3,1.6,1.4,1.7,41.1,52.9,29.7
Denmark,12.3,12.1,12.5,53.5,64.2,43,28.2,32.3,24.2,3.2,3.1,3.3,64.9,75.3,54.9
Estonia,,,,,,,,,,,,,,,
Finland,,,,49.6,59.7,39.9,24.1,29.5,18.9,2.6,2.8,2.4,52.6,61.4,44.2
France,,,,,,,,,,,,,,,
Germany,0,0,0,32.3,32.3,32.3,17.4,18.8,16.2,2.9,2.6,3.1,38.7,40.7,36.9
Greece,,,,,,,,,,,,,,,
Hungary,1.4,1.9,0.9,26.5,32,21.3,15.1,18,12.4,0.9,0.8,1,32,38.8,25.5
Ireland,,,,,,,,,,,,,,,
Israel,,,,42.1,50.6,33.8,18.8,23.2,14.4,1.5,1.5,1.5,,,
Italy,0.3,0.1,0.4,28.5,34.1,23.1,19.9,23.8,16.1,1.5,1.5,1.4,34.7,41.9,27.8
Japan,25.1,32.1,18.4,45.5,42.8,48,8.1,5.5,10.6,1.2,0.7,1.6,72.1,76.5,68
Korea,,,,,,,,,,1.6,1.2,2,,,
Latvia,14.1,19,9.2,30.5,39.7,21.9,15.8,22.2,9.5,0.9,1,0.8,44.9,59,31.3
Lithuania,,,,50.9,65,37.3,19.9,27.1,13,1.1,1.3,0.9,54.2,69.9,39.2
Luxembourg,8.2,11,5.5,8.6,9.7,7.6,8.9,9.5,8.3,1.3,1.1,1.4,24.5,29,20.2
Mexico,2.3,1.8,2.8,23.8,24.9,22.7,3.7,3.9,3.4,0.3,0.3,0.3,26.1,26.7,25.4
Netherlands,0.8,0.9,0.8,44.2,49.8,38.9,18.5,21.4,15.7,2.3,2.2,2.3,48.8,54.8,43
New Zealand,26.7,25.4,27.7,56.7,67.4,46.1,8.5,9.6,7.4,2.2,2.2,2.3,74.9,82.2,67.5
Norway,3.8,1.7,5.7,39.2,51.3,27.8,17.5,20.3,14.8,2,2.1,1.8,46.4,56.9,36.4
Poland,0.1,0.2,0,,,,,,,,,,,,
Portugal,,,,34.7,42.3,27.1,16,19,13,1.6,1.7,1.6,40.5,48.6,32.6
Slovak Republic,1.1,1.5,0.7,38,49,27.5,35.8,46.1,25.9,2.3,2.3,2.2,41.1,53.1,29.6
Slovenia,7,6.6,7.3,43,54.8,32,20.5,28,13.5,2.8,3.3,2.3,56.3,70.3,43.1
Spain,22.9,25.1,20.8,31.1,37.8,24.7,17.8,19.9,15.7,1.7,1.7,1.7,60.4,69.8,51.5
Sweden,7,7.9,6.1,26.3,36.8,16.3,20.5,23.6,17.4,2.4,2.3,2.5,40.6,51.3,30.4
Switzerland,0.4,0.6,0.2,47.9,47.8,48.1,17.7,17.4,18,3.3,3,3.6,48.6,48.7,48.5
Turkey,23.7,24,23.3,36.3,36.1,36.6,4.5,4.1,4.9,0.4,0.4,0.5,60.9,61,60.9
United Kingdom,6.3,6.9,5.8,44.4,51.3,37.7,22.3,26.2,18.4,3,2.8,3.2,44.2,50.5,38.1
United States,22.9,28.7,17.4,39,45.9,32.4,19.8,23.5,16.1,1.6,1.6,1.6,54.9,65.3,45
Brazil,,,,,,,,,,,,,,,
China,28.3,30.9,26,26.4,29,24.1,2.7,2.8,2.5,0.2,0.2,0.3,,,
Columbia,13.8,14.5,13.2,20.7,24.3,17.2,9.1,10.5,7.7,0.1,0.1,0.1,,,
Costa Rica,5.7,7.6,3.9,49,63.3,35.2,6,7.1,4.9,0.1,0.1,0.1,,,
India,,,,,,,,,,,,,,,
Indonesia,4.9,6.5,3.4,16.6,19.1,14.2,1.5,1.4,1.6,0.1,0.1,0.1,,,
Russia,29.6,31.8,27.5,10.8,12.9,8.8,45.5,54.2,37.1,1.2,1,1.4,84.9,98.3,72
