Country,2011,2012,2013,2014,2015,2016
Australia,16,13.8,18,15.4,13,14.3
Austria,18.6,18.2,18.1,17.7,17,14.08125
Belgium,5.8,6.4,5.9,3.3,4.7,14.08125
Canada,19.2,19.5,19.3,19.2,18.6,18.2
Chile,16,14.08125,10.7,14.08125,21.1,14.08125
Czech Republic,16.3,15.3,15.4,16.3,16.5,16.3
Denmark,7.9,7,6.8,6.3,5.8,14.08125
Estonia,14.08125,14.08125,14.08125,28.3,14.08125,14.08125
Finland,18.6,18.7,20.2,19.6,18.1,14.08125
France,14.08125,14.08125,14.08125,9.9,14.08125,14.08125
Germany,16.9,15.6,14.1,17.4,15.8,15.5
Greece,10.7,6.9,11.3,9.1,6.3,4.5
Hungary,6.9,11.3,8.7,3.8,9.5,9.4
Iceland,14.1,14.08125,14.5,13.6,9.9,14.08125
Ireland,10.4,8.5,12.8,15.2,14.4,14.08125
Israel,20.9,19.5,18.2,18.9,19.3,14.08125
Italy,14.08125,11.1,14.08125,5.6,14.08125,14.08125
Japan,27.4,26.5,26.6,25.9,25.7,14.08125
Korea,36.6,36.3,36.6,36.7,37.2,36.7
Latvia,14.08125,14.08125,14.08125,21.1,14.08125,14.08125
Lithuania,14.08125,14.08125,14.08125,12.5,14.08125,14.08125
Luxembourg,14.08125,14.08125,14.08125,3.4,14.08125,14.08125
Mexico,10,13.6,15.4,18.3,16.7,16.5
Netherlands,14.08125,14.08125,14.08125,14.1,14.08125,14.08125
New Zealand,4.5,5.9,6.6,6.1,7.9,7.8
Norway,7.8,6.4,7,6.3,7.1,14.08125
Poland,8.9,10.6,14.08125,11.1,14.08125,14.08125
Portugal,15.2,16.3,16.7,18.9,18.9,14.3
Slovak Republic,15.4,16,14.1,14.4,13.4,13.9
Slovenia,14.08125,14.08125,14.08125,5,14.08125,14.08125
Spain,8.3,8.6,14.08125,11.5,14.08125,14.08125
Sweden,15.9,15.1,13.4,14.08125,14.08125,14.08125
Switzerland,14.08125,19.3,14.08125,16.9,14.08125,14.08125
Turkey,14.08125,14.08125,14.08125,6.9,14.08125,14.08125
United Kingdom,18.2,17.8,17.5,17.4,17.1,16.8
United States,17.8,19.1,17.9,17.5,18.9,18.1
OECD - Average,14.4,14.3,14.3,14.3,14.3,14.1
Non-OECD Economies,14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
Brazil,14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
China (People's Republic of),14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
Colombia,3.5,8.2,7.1,9.6,11.1,7.1
Costa Rica,4.6,0.6,0,5.1,3.7,1.8
India,14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
Indonesia,14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
Russia,14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
South Africa,14.08125,14.08125,14.08125,14.08125,14.08125,14.08125
